date,Cooler,Heater,Drive 1 started,Sync signal from S10-2991 (DOUT1 Cooler),Command Drive speed Drive 1,Actual Speed Drive 1,Current Propotional Coil Pump 1,Pressure Drain filter 1,Pressure B-side Pump 1,Temp Drain Pump 1,Displacement Pump 1,Current Electric motor 1,Pressure A-side Pump 1,Temp Drain line from Hydraulic motor 1 in tank 1,Temp Oil tank 1,Temp Hydraulic out Cooler 1,Temp Hydraulic in Cooler 1,Pressure Hydraulic in Cooler 1,Temp Drain Hydraulic motor 1,Pressure House Hydraulic motor 1,Temp A-side loop Hydraulic motor 1,Pressure Charge Pump 1,Temp C-side loop Hydraulic motor 1,Temp Ambient Outside power unit
2013-09-09 00:32:00,0,0,0,0,0,0,0,16.9547501564,9.060098761,16.9699993134,0.0600219946,0,0.0491287193,16.7099990845,17.8403550878,12.7875184367,11.3527566952,0,13.6991739262,0,13.959837538,0,13.6858563524,11.8000001907
2013-09-09 00:33:00,0,0,0,0,0,0,0,16.9396430992,9.0587358302,16.9699993134,0.0590334683,0,0.0466891766,16.5999157829,17.8596549245,12.6888717108,11.3505227433,0,13.7032498121,0,13.9597292046,0,13.6952901794,11.8000001907
2013-09-09 00:34:00,0,0,0,0,0,0,0,16.9479199307,9.0564403703,16.9699993134,0.0758805006,0,0.0480282819,16.572799662,17.8006686385,12.6536256664,11.3486377701,0,13.7007942544,0,13.9566417019,0,13.6386673409,11.8000001907
2013-09-09 00:35:00,0,0,0,0,0,0,0,16.9024377584,9.0656269962,16.9699993134,0.0652549882,0,0.0490111102,16.6935832243,17.7999992371,12.5851594753,11.3578829382,0,13.7060953702,0,13.9542112649,0,13.6270824518,11.8000001907
2013-09-09 00:36:00,0,0,0,0,0,0,0,16.8996252537,9.0610358537,16.9699993134,0.0777470613,0,0.0595666656,16.5992996788,17.7999992371,12.7070417173,11.3562345328,0,13.7010903658,0,13.9460504606,0,13.60618306,11.8000001907
2013-09-09 00:37:00,0,0,0,0,0,0,0,16.8703752041,9.0612399271,16.9699993134,-0.0507500535,0,0.0439444436,16.5954746993,17.7999992371,12.6767228544,11.355078856,0,13.7023166242,0,13.8530966107,0,13.5699996948,11.7921313083
2013-09-09 00:38:00,0,0,0,0,0,0,0,16.8085000515,9.0650307072,16.9595993042,0.0725879401,0,0.0465330056,16.6060496426,17.7999992371,12.5655732191,11.3531704513,0,13.7034607772,0,13.8299999237,0,13.5699996948,11.7187020664
2013-09-09 00:39:00,0,0,0,0,0,0,0,16.8535001755,9.0630332732,16.9699993134,0.0583817228,0,0.0443892147,16.6161745882,17.7999992371,12.6040710661,11.3498193496,0,13.6998192536,0,13.8299999237,0,13.5699996948,11.6999998093
2013-09-09 00:40:00,0,0,0,0,0,0,0,16.7994999727,9.0588650954,16.8605357877,0.0808833358,0,0.0431757568,16.6352994855,17.7999992371,12.6086128195,11.3495665725,0,13.6999998093,0,13.8299999237,0,13.5699996948,11.6999998093
2013-09-09 00:41:00,0,0,0,0,0,0,0,16.7950000763,9.0631681216,16.8404792953,0.0581130459,0,0.0434575752,16.5941743387,17.7999992371,12.6122616427,11.3499999046,0,13.6998553647,0,13.8299999237,0,13.5699996948,11.6999998093
2013-09-09 00:42:00,0,0,0,0,0,0,0,16.9615000248,9.0714029622,16.8586325487,0.0600994589,0,0.0355333326,16.5748689276,17.7999992371,12.6051531781,11.3493499064,0,13.7002164761,0,13.8299999237,0,13.5699996948,11.6999998093
2013-09-09 00:43:00,0,0,0,0,0,0,0,16.9300003052,9.0586635804,16.8580792148,0.0672858895,0,0.036029411,16.5764483592,17.7999992371,12.6063473773,11.3467739877,0,13.6990248084,0,13.8299999237,0,13.5699996948,11.6999998093
2013-09-09 00:44:00,0,0,0,0,0,0,0,16.8940002759,9.0633353433,16.8490058735,0.0583096153,0,0.0344372541,16.5758374971,17.7999992371,12.5383797656,11.3495641651,0,13.7001623094,0,13.8299999237,0,13.5699996948,11.6999998093
2013-09-09 00:45:00,0,0,0,0,0,0,0,16.9210002422,9.0588312068,16.844094226,0.0718389994,0,0.0438666658,16.5770247984,17.7999992371,12.568855218,11.3464659671,0,13.6951934161,0,13.8299999237,0,13.5699996948,11.6999998093
2013-09-09 00:46:00,0,0,0,0,0,0,0,16.8955002467,9.0609291086,16.8377517925,0.0591942335,0,0.0573809514,16.5751948082,17.7999992371,12.5745810109,11.3231455935,0,13.6975678188,0,13.8299999237,0,13.5403643388,11.6999998093
2013-09-09 00:47:00,0,0,0,0,0,0,0,16.8790002187,9.0603003213,16.839995615,0.0711378066,0,0.0617357132,16.5748498101,17.7999992371,12.5377024096,11.3301804735,0,13.699291162,0,13.8299999237,0,13.4819853788,11.6926526291
2013-09-09 00:48:00,0,0,0,0,0,0,0,16.8985002518,9.0600739687,16.8430509073,0.0599209701,0,0.0408318174,16.5752698078,17.7999992371,12.5085077918,11.3253169163,0,13.6961926631,0,13.8299999237,0,13.5250029684,11.6190141616
2013-09-09 00:49:00,0,0,0,0,0,0,0,16.7590000153,9.0622405359,16.8417445708,0.0657400024,0,0.0415229429,16.5745048119,17.7999992371,12.5828523439,11.2281361212,0,13.6765564553,0,13.8299999237,0,13.4472894175,11.6000003815
2013-09-09 00:50:00,0,0,0,0,0,0,0,16.8829829841,9.0572618393,16.8414380891,-0.0355566692,0,0.0382634914,16.5749998093,17.7999992371,12.5544664133,11.220000267,0,13.6456742059,0,13.8299999237,0,13.4588957111,11.6000003815
2013-09-09 00:51:00,0,0,0,0,0,0,0,17.1352371621,9.0598243311,16.8408533663,0.0723791691,0,0.0510650784,16.5746140971,17.7999992371,12.5720413217,11.220000267,0,13.7071213018,0,13.7880676135,0,13.4429153226,11.6000003815
2013-09-09 00:52:00,0,0,0,0,0,0,0,16.78528022,9.0593298122,16.8423283676,0.0431468764,0,0.0426666657,16.5748105246,17.7999992371,12.5181886856,11.220000267,0,13.6287304825,0,13.7269545157,0,13.4469028185,11.6000003815
2013-09-09 00:53:00,0,0,0,0,0,0,0,16.8400001844,9.0601631224,16.8427195717,0.0787906275,0,0.0432333325,16.5747498106,17.7999992371,12.5683777241,11.220000267,0,13.5699996948,0,13.734738003,0,13.4480975332,11.6000003815
2013-09-09 00:54:00,0,0,0,0,0,0,0,16.8857234444,9.0612764443,16.8398517451,0.0836833358,0,0.0581333324,16.5738858447,17.7999992371,12.519786658,11.220000267,0,13.5699996948,0,13.7029142391,0,13.4450790622,11.6000003815
2013-09-09 00:55:00,0,0,0,0,0,0,0,16.9067770515,9.0677332687,16.8398096154,0.0814569469,0,0.0456939385,16.5652961849,17.7999992371,12.5491627024,11.220000267,0,13.5699996948,0,13.6996480413,0,13.4390672528,11.6000003815
